Num_Of_OP_Claims_Total,income,beds,Weighted_Safety_Domain_Score,households,ip_avg_stay,cmi_recent_value,ip_total_costs,Total_Performance_Score,Num_Of_OP_Claims_Total_score,income_score,beds_score,households_score,ip_avg_stay_score,cmi_recent_value_score,ip_total_costs_score,Total_Performance_Score_score,Weighted_Safety_Domain_Score_score,model_score,GPO_Text__c_Vizient_score,is_preimer,is_intalere,is_vazient,beds_score_size,initial_score,score_label,is_kids_hospital,Provider_Number,GPO_Affiliations,Hospital_Name_x,post_state_score_label,post_HealthTrust_score_label,post_Vazient_and_kids_score_label,post_state_applied,post_HealthTrust_applied,post_Vazient_and_kids_applied,final_score,Daily_Revenue_sum_2018,Daily_Revenue_mean_2018,first_year_month_transaction,Total_Daily_Revenue,is_quva_customer,Zip_Code,IDN,Definitive_IDN_ID,City,State_y,Territory,Assigned_Name,weighted_score,idn_average_beds,Number_of_Hospitals,is_independent,Longitude,Latitude,Num_Of_OP_Claims_Total_bucket,income_bucket,beds_bucket,households_bucket,ip_avg_stay_bucket,cmi_recent_value_bucket,ip_total_costs_bucket,Total_Performance_Score_bucket,Weighted_Safety_Domain_Score_bucket
0,61.966,25,3.359,4988,2.472,1.312,4910256,21.597,0,0.333,0,0,1,0.333,0.333,0,0,11.667,0,0,0,0,4.444,10.222,D,FALSE,131327,HealthTrust Purchasing Group (HPG),Gritman Medical Center,D,D,D,FALSE,TRUE,FALSE,D,1862.82,931.41,201806,1862.82,TRUE,83843,,-1,MOSCOW,ID,Seattle,"Fletcher, Mi",,,,TRUE,-116.9897,46.7309,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 100.0]","(0.0, 5323.096]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(0.0, 5.0]"
1623.75,79.615,75,3.359,8857,3.458,1.629,7086879,49.545,0.167,0.333,0,0.25,1,0.333,0,0.5,0,46.25,1,1,1,0,17.778,40.556,C,FALSE,50090,"Premier Inc, Intalere (FKA: Amerinet)",Sonoma Valley Hospital,B,C,C,TRUE,FALSE,FALSE,B,409.2,204.6,201806,409.2,TRUE,95476,,-1,SONOMA,CA,San Francisco,"Rosen,Ma",,,,TRUE,-122.4696,38.2849,"(1001.0, 5000.0]","(48.525, 80.564]","(3.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(39.828, 63.414]","(0.0, 5.0]"
0,56.097,30,3.359,7173,3.742,1.326,3500265,21.597,0,0.333,0,0.25,1,0.333,0.333,0,0,42.917,1,0,0,1,8.889,36.111,C,FALSE,171384,Vizient,Newman Regional Health,C,C,C,FALSE,FALSE,FALSE,C,120,120,201807,120,TRUE,66801,,-1,EMPORIA,KS,Minneapolis,"Moeller,Ja",,,,TRUE,-96.1871,38.4184,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(0.0, 5.0]"
1875.5,71.492,75,4,12023,3.014,1.475,3465101,21.75,0.167,0.333,0,0.25,1,0.333,0.333,0,0,45.417,1,0,1,1,17.778,39.889,C,FALSE,370211,"Intalere (FKA: Amerinet), Vizient",INTEGRIS Canadian Valley  Hospital,C,C,C,FALSE,FALSE,FALSE,C,350,350,201807,350,TRUE,73099,INTEGRIS Health,4899,YUKON,OK,Dallas,"Ballew,Ho",0.054,155.333,9,FALSE,-97.7323,35.4977,"(1001.0, 5000.0]","(48.525, 80.564]","(3.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(0.0, 5.0]"
1790.125,91.719,40,6.667,8009,3.57,1.567,2562228,27,0.167,0.667,0,0.25,1,0.333,0.333,0,0.143,50.179,1,0,1,1,8.889,41.921,C,FALSE,370236,"Intalere (FKA: Amerinet), Vizient",INTEGRIS Health Edmond,C,C,C,FALSE,FALSE,FALSE,C,,,-1,,FALSE,73034,INTEGRIS Health,4899,EDMOND,OK,Dallas,"Ballew,Ho",0.029,155.333,9,FALSE,-97.4798,35.6665,"(1001.0, 5000.0]","(80.564, 141.836]","(3.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(5.0, 10.0]"
2211.375,84.156,9,3.359,8912,0.908,2.931,1054566,21.597,0.167,0.667,0,0.25,1,0,0.333,0,0,47.083,1,0,0,1,4.444,38.556,C,FALSE,370225,Vizient,Summit Medical Center,C,C,C,FALSE,FALSE,FALSE,C,,,-1,,FALSE,73034,,-1,EDMOND,OK,Dallas,"Ballew,Ho",,,,TRUE,-97.4798,35.6665,"(1001.0, 5000.0]","(80.564, 141.836]","(3.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(0.0, 1.185]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
0,56.128,37,3.359,4438,16.58,1.403,4282125,24.583,0,0.333,0,0,0,0.333,0.333,0,0,36.667,1,0,1,1,8.889,31.111,D,FALSE,372005,"Intalere (FKA: Amerinet), Vizient",AMG Specialty Hospital - Edmond (FKA: LTAC Of Edmond),D,D,D,FALSE,FALSE,FALSE,D,,,-1,,FALSE,73034,AMG Integrated Healthcare Management,550817,EDMOND,OK,Dallas,"Ballew,Ho",0.116,29,11,FALSE,-97.4798,35.6665,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 100.0]","(0.0, 5323.096]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
5105.875,62.607,170,8.667,13446,4.546,1.568,21684346,24.75,0.333,0.333,0.4,0.25,1,0.333,0,0,0.143,51.679,1,0,0,1,26.667,46.676,B,FALSE,150128,Vizient,Community Hospital South,B,B,B,FALSE,FALSE,FALSE,B,,,-1,,FALSE,46227,Community Health Network (Indianapolis IN),550058,INDIANAPOLIS,IN,Detroit,"Satow, Ma",0.115,211.857,5,FALSE,-86.1302,39.6789,"(5000.0, 9140.479]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
5105.875,62.607,170,8.667,13446,4.546,1.568,21684346,24.75,0.333,0.333,0.4,0.25,1,0.333,0,0,0.143,51.679,1,0,0,1,26.667,46.676,B,FALSE,150128,Vizient,Community Hospital South,B,B,B,FALSE,FALSE,FALSE,B,5146.42,2573.21,201806,5146.42,TRUE,46227,Community Health Network (Indianapolis IN),550058,INDIANAPOLIS,IN,Detroit,"Satow, Ma",0.115,211.857,5,FALSE,-86.1302,39.6789,"(5000.0, 9140.479]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(5.0, 10.0]"
2891.125,65.173,64,12.667,7503,3.21,1.258,6902960,50.917,0.167,0.333,0,0.25,1,0.333,0,0.5,0.429,50.536,1,1,0,0,17.778,43.984,B,FALSE,240044,Premier Inc,Winona Health Services,B,B,B,FALSE,FALSE,FALSE,B,2585.73,1292.865,201806,2585.73,TRUE,55987,,-1,WINONA,MN,Minneapolis,"Moeller,Ja",,,,TRUE,-91.7009,44.03,"(1001.0, 5000.0]","(48.525, 80.564]","(3.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(39.828, 63.414]","(12.618, 14.957]"
