Num_Of_OP_Claims_Total,income,beds,Weighted_Safety_Domain_Score,households,ip_avg_stay,cmi_recent_value,ip_total_costs,Total_Performance_Score,Num_Of_OP_Claims_Total_score,income_score,beds_score,households_score,ip_avg_stay_score,cmi_recent_value_score,ip_total_costs_score,Total_Performance_Score_score,Weighted_Safety_Domain_Score_score,model_score,GPO_Text__c_Vizient_score,is_preimer,is_intalere,is_vazient,beds_score_size,Account_id_x,Provider_Number_x,Definitive_ID,Customer_ID,initial_score,score_label,is_kids_hospital,Provider_Number_y,GPO_Affiliations,Hospital_Name,post_state_score_label,post_state_applied,post_HealthTrust_score_label,post_HealthTrust_applied,post_Vazient_and_kids_score_label,post_Vazient_and_kids_applied,final_score,Account_id_y,first_year_month_transaction,Daily_Revenue_mean_2018,Daily_Revenue_sum_2018,Total_Daily_Revenue,is_quva_customer,Provider_Number,Zip_Code,IDN,Definitive_IDN_ID,City,State_y,Territory,Assigned_Name,weighted_score,idn_average_beds,Number_of_Hospitals,idn_final_score_label,is_independent,Pharmacy_Costs,Provider_ID,Total_Costs,Total_Charges,Pharmacy_Total_Cost,Longitude,Latitude,Num_Of_OP_Claims_Total_bucket,income_bucket,beds_bucket,households_bucket,ip_avg_stay_bucket,cmi_recent_value_bucket,ip_total_costs_bucket,Total_Performance_Score_bucket,Weighted_Safety_Domain_Score_bucket
0,61.966,25,0,4988,2,1.312,4910256,0,0,0.333,0,0,1,0.333,0.333,0,0,11.667,0,0,0,0,11.111,0014100001gCGXyAAO,131327,1102,10900,11.556,D,FALSE,131327,HealthTrust Purchasing Group (HPG),Gritman Medical Center,D,FALSE,D,TRUE,D,FALSE,D,0014100001gCGXyAAO,18-Jun,931.41,1862.82,1862.82,TRUE,131327,83843,,-1,MOSCOW,ID,Seattle,"Fletcher, Mi",,,,,TRUE,,131327,44444159,89746162,0,-116.9897,46.7309,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 50.0]","(0.0, 5323.096]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(0.0, 5.0]"
1624,79.615,75,0,8857,3,1.629,7086879,49.545,0.167,0.333,0.125,0.25,1,0.333,0,0.5,0,47.5,1,1,1,0,33.333,0014100001gCGXzAAO,50090,613,10901,44.667,C,FALSE,50090,"Premier Inc, Intalere (FKA: Amerinet)",Sonoma Valley Hospital,B,TRUE,C,FALSE,C,FALSE,B,0014100001gCGXzAAO,18-Jun,204.6,409.2,409.2,TRUE,50090,95476,,-1,SONOMA,CA,San Francisco,"Rosen,Ma",,,,,TRUE,3142873,50090,52841307,262004581,3142873,-122.4696,38.2849,"(1001.0, 5000.0]","(48.525, 80.564]","(50.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(39.828, 63.414]","(0.0, 5.0]"
0,56.097,30,0,7173,4,1.326,3500265,0,0,0.333,0,0.25,1,0.333,0.333,0,0,42.917,1,0,0,1,11.111,0014100001gCGY0AAO,171384,1577,10902,36.556,C,FALSE,171384,Vizient,Newman Regional Health,C,FALSE,C,FALSE,C,FALSE,C,0014100001gCGY0AAO,18-Jul,120,120,120,TRUE,171384,66801,,-1,EMPORIA,KS,Minneapolis,"Moeller,Ja",,,,,TRUE,3763463,171384,47538332,116641489,3763463,-96.1871,38.4184,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 50.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(0.0, 5.0]"
1876,71.492,75,4,12023,3,1.475,3465101,21.75,0.167,0.333,0.125,0.25,1,0.333,0.333,0,0,46.667,1,0,1,1,33.333,0014100001gCGeKAAW,370211,3262,10904,44,C,FALSE,370211,"Intalere (FKA: Amerinet), Vizient",INTEGRIS Canadian Valley  Hospital,C,FALSE,C,FALSE,C,FALSE,C,0014100001gCGeKAAW,18-Jul,350,350,350,TRUE,370211,73099,INTEGRIS Health,4899,YUKON,OK,Dallas,"Ballew,Ho",0.045,1521,10,B,FALSE,2016404,370211,50834691,283997610,2028648,-97.7323,35.4977,"(1001.0, 5000.0]","(48.525, 80.564]","(50.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(0.0, 5.0]"
5106,62.607,170,8.667,13446,5,1.568,21684346,24.75,0.333,0.333,0.375,0.25,1,0.333,0,0,0.143,51.429,1,0,0,1,77.778,0014100001eCOudAAG,150128,1355,10870,56.698,B,FALSE,150128,Vizient,Community Hospital South,B,FALSE,B,FALSE,B,FALSE,B,0014100001eCOudAAG,18-Jun,2573.21,5146.42,5146.42,TRUE,150128,46227,Community Health Network (Indianapolis IN),550058,INDIANAPOLIS,IN,Detroit,"Satow, Ma",0.147,999,6,B,FALSE,,150128,198267416,786426322,0,-86.1302,39.6789,"(5000.0, 9140.479]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
2891,65.173,64,12.667,7503,3,1.258,6902960,50.917,0.167,0.333,0.125,0.25,1,0.333,0,0.5,0.429,51.786,1,1,0,0,33.333,0014100001hwBeQAAU,240044,2244,10912,48.095,C,FALSE,240044,Premier Inc,Winona Health Services,C,FALSE,C,FALSE,C,FALSE,C,0014100001hwBeQAAU,18-Jun,1292.865,2585.73,2585.73,TRUE,240044,55987,,-1,WINONA,MN,Minneapolis,"Moeller,Ja",,,,,TRUE,,240044,73354286,136232735,0,-91.7009,44.03,"(1001.0, 5000.0]","(48.525, 80.564]","(50.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(39.828, 63.414]","(12.618, 14.957]"
0,53.04,25,0,4374,3,1.38,2897558,0,0,0.333,0,0,1,0.333,0.333,0,0,41.667,1,0,0,1,11.111,0014100001bJju6AAC,131328,1094,10768,35.556,D,FALSE,131328,Vizient,Bonner General Hospital,D,FALSE,D,FALSE,D,FALSE,D,0014100001bJju6AAC,18-Apr,500.86,2003.44,2003.44,TRUE,131328,83864,,-1,SANDPOINT,ID,Seattle,"Fletcher, Mi",,,,,TRUE,,131328,37006241,65864688,0,-116.5332,48.312,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 50.0]","(0.0, 5323.096]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(0.0, 5.0]"
10972,54.873,223,14.667,13079,4,1.68,23214033,44.25,0.5,0.333,0.375,0.25,1,0.333,0,0.5,0.429,59.286,1,0,0,1,88.889,0014100001bJjuAAAS,150048,1404,10772,65.206,A,FALSE,150048,Vizient,Reid Health (FKA: Reid Hospital & Health Care Services),A,FALSE,A,FALSE,A,FALSE,A,0014100001bJjuAAAS,18-Apr,2100.735,8402.94,8402.94,TRUE,150048,47374,,-1,RICHMOND,IN,Detroit,"Satow, Ma",,,,,TRUE,31927203,150048,214223375,728272097,31927203,-84.8936,39.8324,"(9140.479, 35608.014]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(39.828, 63.414]","(12.618, 14.957]"
0,56.128,213,0,4438,0,0,6884107,24.583,0,0.333,0.375,0,1,0,0,0,0,42.083,1,0,0,1,88.889,,154018,6212,nan,51.444,B,FALSE,154018,Vizient,Richmond State Hospital,B,FALSE,B,FALSE,B,FALSE,B,,,,,,FALSE,154018,47374,Indiana State Psychiatric Hospitals,860797,RICHMOND,IN,Detroit,"Satow, Ma",0.213,999,6,D,FALSE,530311,154018,29793712,308970,530311,-84.8936,39.8324,"(0.0, 1001.0]","(48.525, 80.564]","(150.0, 254.456]","(0.0, 5323.096]","(-0.474, 6.546]","(0.0, 1.185]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
9303,52.658,288,10,10693,4,1.891,23140486,37.583,0.5,0.333,0.5,0.25,1,0.333,0,0,0.143,55.179,1,0,1,1,88.889,0014100001blF8ZAAU,270051,2459,10792,61.921,A,FALSE,270051,"Magnet Group, Vizient, Health Resource Services, Intalere (FKA: Amerinet), Managed Healthcare Associates (MHA)",Kalispell Regional Medical Center,A,FALSE,A,FALSE,A,FALSE,A,0014100001blF8ZAAU,18-Jul,1877.76,1877.76,1877.76,TRUE,270051,59901,Kalispell Regional Healthcare,550492,KALISPELL,MT,Denver,"Ramirez,Ma",0.845,341,3,A,FALSE,12329173,270051,285510087,664937308,12329173,-114.3039,48.2028,"(9140.479, 35608.014]","(48.525, 80.564]","(254.456, 1532.489]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
